slang,formal
uk,united kingdom
usa,united state of america
univ,universitas
universiti,universitas
university,universitas
university‚,universitas
ub,universitas brawijaya
uin,universitas islam negeri
unkris,universitas kristen
unm,universitas negeri malang
unpad,universitas negeri padjadjaran
unnes,universitas negeri semarang
untan,universitas tanjungpura
untar,universitas tarumanegara
universiti2,universitas universitas
unt,untuk
untuak,untuk
unutk,untuk
utuk,untuk
untrakyat,untuk rakyat
untung2an,untung untungan
uupa,upah
umr,upah minimum regional
upone,upon
upss,ups
urusn,urusan
urusin,uruskan
ukm,usaha kecil menengah
umkm,usaha mikro kecil dan menengah
usirchina,usir cina
usirdubesmyanmar,usir kedutaan besar myanmar
usluf,uslub
ustmani,usmani
uss,ussr
ust,ustaz
ustadz,ustaz
ustd,ustaz
ust2,ustaz ustaz
ustad2,ustaz ustaz
ustadz2,ustaz ustaz
ustd2,ustaz ustaz
uthman,utsman
utusanmalaysia,utusan malaysia
utusanonline,utusan online
udzur,uzur
valik,valak
validnya,validitasnya
verif,verifikasi
ver,versi
vii,vi
vid,video
videobokep,video bokep
vidkep,video bokep
videobokepgrat,video bokep gratis
vc,video call
vcs,video call sex
vclip,video klip
videomesum,video mesum
videongentot,video ngentot
vikinganjing,viking anjing
villa,vila
vincesius,vincentius
vinyl,vinil
virakan,viralkan
viralin,viralkan
visualnya,visualisasinya
viv4jokowi,viva jokowi
vivov9,vivo
vivov9grandlaunch,vivo
vocal,vokal
waba,wabah
wadaauuww,waduh
wadaw,waduh
wadidaw,waduh
waduuh,waduh
wala,waduh
wllh,waduh
wlo,waduh
waah,wah
wahh,wah
wal,wah
wehh,wah
woh,wah
wohh,wah
yua,wah
wagelaseh,wah gila sih
waaini,wah ini
waini,wah ini
wainna,wah ini
wahbrot,wah saudara
wagakbener,wah tidak benar
wahabrer,wah tidak benar
wah2,wah wah
wahhabi,wahabi
wahabism,wahabisme
wajae,wajahnya
wajah‚,wajahnya
wajahx,wajahnya
wjar,wajar
wajar2,wajar wajar
wajarla,wajarlah
wamil,wajib militer
waji,wajik
wagub,wakil gubernur
wagubku,wakil gubernurku
wagubnya,wakil gubernurnya
waketum,wakil ketua umum
wapres,wakil presiden
wapresnya,wakil presidennya
wapresnye,wakil presidennya
wib,waktu indonesia bagian barat
wayahe,waktunya
walaipun,walaupun
walaupon,walaupun
walupun,walaupun
walikota,wali kota
walkot,wali kota
walikotanya,wali kotanya
walisongo,wali songo
wanita2,wanita wanita
waqi‚,waqiah
wn,warga negara
wna,warga negara asing
wni,warga negara indonesia
wargapribumiasli,warga pribumi asli
warisan‚,warisannya
wartawan2,wartawan wartawan
wrung,warung
warnet,warung internet
warteg,warung tegal
warung2,warung warung
wasite,wasitnya
waspadapki,waspada partai komunis indonesia
waspadailah,waspadalah
waspadanya,waspadalah padanya
wslm,wassalam
wassalammualaikum,wassalammualaykum
watrpad,wattpad
wawancaraeksklusif,wawancara eksklisif
wgl,we get love
wibu,weeaboo
wenangan,wejangan
wel,well
wtf,what the fuck
wassapnya,whatsappnya
wefie,wifi
wil,wilayah
wilyah,wilayah
wilayah2,wilayah wilayah
wne,wine
wirosableng,wiro sableng
wisatakaltim,wisata kalimantan timur
waakaakaak,wkwk
wakaka,wkwk
wakakak,wkwk
wakakaka,wkwk
wakakakak,wkwk
wakakakaka,wkwk
wakakakakakak,wkwk
wakakkakkak,wkwk
wakaq,wkwk
wakwaww,wkwk
wek,wkwk
wekawekaweka,wkwk
wekekkeke,wkwk
wjdjiqksks,wkwk
wk,wkwk
wkaakakak,wkwk
wkakak,wkwk
wkakakakaka,wkwk
wkejwkkw,wkwk
wkk,wkwk
wkkw,wkwk
wkkwkk,wkwk
wkkwkw,wkwk
wkkwkwkw,wkwk
wkkwkwkwkw,wkwk
wkkww,wkwk
wks,wkwk
wksk,wkwk
wkw,wkwk
wkwkk,wkwk
wkwkkw,wkwk
wkwkkwk,wkwk
wkwkkwkw,wkwk
wkwkkwkwkw,wkwk
wkwkkwkwkwkwkq,wkwk
wkwks,wkwk
wkwkw,wkwk
wkwkwjjwjw,wkwk
wkwkwk,wkwk
wkwkwkakak,wkwk
wkwkwkk,wkwk
wkwkwkkwkw,wkwk
wkwkwkkwkwkwwk,wkwk
wkwkwkw,wkwk
wkwkwkwkk,wkwk
wkwkwkwkkw,wkwk
wkwkwkwkw,wkwk
wkwkwkwkwk,wkwk
wkwkwkwkwkk,wkwk
wkwkwkwkwkkw,wkwk
wkwkwkwkwkkwkwkw,wkwk
wkwkwkwkwkw,wkwk
wkwkwkwkwkwkk,wkwk
wkwkwkwkwkwkwk,wkwk
wkwkwkwkwkwkwkwk,wkwk
wkwkwkwkwkwkwkwkkwkwkwkwkwkwkwkkw,wkwk
wkwkwkwkwkwkwkwkwkwkwk,wkwk
wkwkwkwkwwkwkwkwkwkwkwk,wkwk
wkwkwkwwkkwkwkwkwk,wkwk
wkwkwkwwkwk,wkwk
wkwkwwk,wkwk
wkwwk,wkwk
wqwq,wkwk
wqwqwq,wkwk
wqwqwqwq,wkwk
wuakkakaa,wkwk
wwkkw,wkwk
wwkwkwkw,wkwk
wwsn,wkwk
wonderfulindonesia,woderful indonesia
worldcup2018,world cup 2018
waaw,wow
waow,wow
waw,wow
wew,wow
widih,wow
woow,wow
woww,wow
wuah,wow
wusstt,wow
wournos,wuornos
winwen,xinwen
yab,ya
ya,ya
yha,ya
yaah,ya
yaakk,ya
yahh,ya
yas,ya
yeah,ya
yuups,ya
yaallah,ya allah
yaallahh,ya allah
yaolo,ya allah
yasalam,ya allah
yassalam,ya allah
yawlah,ya allah
yaamfun,ya ampun
yaampun,ya ampun
yampun,ya ampun
yagimanasih,ya bagaimana sih
yagitu,ya begitu
yai,ya iyalah
yaila,ya iyalah
yailaah,ya iyalah
yailah,ya iyalah
yaiyalah,ya iyalah
yakali,ya kali
yra,ya rabbal alamin
yauda,ya sudah
yawdah,ya sudah
yowis,ya sudah
yaudahlah,ya sudahlah
yanga,ya tidak
yaola,ya tidak
yalord,ya tuhan
yaaelaa,yaelah
yaaelah,yaelah
yaelahh,yaelah
yahodi,yahudi
yahudii,yahudi
yahudilik,yahudi
yakini,yaitu
yakiin,yakin
yakiinn,yakin
yabg,yang
yanag,yang
yangg,yang
yant,yang
yynng,yang
zhang,yang
yangbagus,yang bagus
ybhg,yang berbahagia
ybs,yang bersangkutan
yll,yang lain lain
yme,yang maha esa
yangmembuat,yang membuat
yth,yang terhormat
yasadipura,yasa adipura
yaysn,yayasan
ylbhi,yayasan lembaga bantuan hukum indonesia
ylhbi,yayasan lembaga bantuan hukum indonesia
yal,yel
yall,yel
yell,yel
yogya,yogyakarta
ykwim,you know what i mean
yutub,youtube
yutup,youtube
yutuber,youtuber
yubaarik,yubarik
ucril,yusril
ym,yusuf mansyur
zainulmajdi,zainul majdi
zhalim,zalim
zmn,zaman
zar,zat
zionist,zionis
zoon,zoom
zuyle,zumi
met,selamat
netaas,menetas
keberpa,keberapa
eeeehhhh,eh
kata2nyaaa,kata katanya
hallo,halo
ka,kakak
daah,dah
aaaaahhhh,ah
nyenengin,menyenangkan
gemess,gemas
akuuu,aku
gemesiin,menggemaskan
menyenangkn,menyenangkan
mnis2nya,manis manisnya
idolaa,idola
kaakk,kakak
baaiikkk,baik
telaatt,telat
kaak,kakak
loohhh,lo
yeee,iya
baguuuuus,bagus
gayany,gayanya
bnk,bank
awaas,awas
siip,sip
abizzzz,habis
kerrrrennnn,keren
sayaa,saya
sdkit,sedikit
lgu,lagu
kharismanya,karismanya
lgunya,lagunya
kereeeeennnn,keren
nyamain,menyamakan
lakik,laki
siippp,sip
kereeen,keren
wihhhhhh,weh
bingitsss,banget
kaloo,kalau
gimna,bagaimana
tuuh,itu
nyebur,mencebur
dbuat,dibuat
bangcat,bangsat
waoohhh,wah
dhe,deh
indahhh,indah
bgttt,banget
berarto,berarti
amiiinn,amin
aminnnn2,amin amin
amiiiin,amin
aminnn,amin
amiend,amin
yaaa,ya
ameen,amin
aminnnn,amin
amiiinnn,amin
mamer,memamerkan
jelase,jelas
uwakk,uak
gini,begini
njir,anjir
piiink,merah muda
astgfrullah,astagfirullah
gbs,enggak bisa
yaaaaaa,ya
bangshad,bangsat
stagahhhh,astaga
iooo,lo
plampiasannn,pelampiasan
masalahh,masalah
inghinn,ingin
dhi,di
mengherthii,mengerti
yanckh,sayang
chelalyyu,selalu
therchakitty,tersakiti
mauuuuu,mau
kaliii,kali
bangat,banget
dongg,dong
yokkk,ayo
sweger,segar
gantengg,ganteng
bingiit,banget
kebukaaa,terbuka
kayakk,kayak
asliii,asli
cntiknya,cantiknya
ngeliatnya,melihatnya
njerr,anjir
bingiiittttzzzz,banget
dooong,dong
hdk,hendak
jugaa,juga
mksud,maksud
mbakx,mbaknya
bejilbbnya,berjilbabnya
masio,masih
yahhh,ya
makasih,terima kasih
ugaaa,juga
jerewi,jerawat
jilbabnyaah,jilbabnya
yuuuk,ayo
warnaaa,warna
punyaaa,punya
cantiik,cantik
sukaaak,suka
kebayanyaa,kebayanya
merekaaaa,mereka
jugaaa,juga
gilaaaa,gila
tiga2nya,tiga tiganya
lucuu,lucu
emessss,gemas
ucullllll,lucu
bangeettt,banget
gemesshh,gemas
apaaa,apa
ampuunn,ampun
ciuuuummmm,cium
ngemeng,bicara
epe,apa
seehh,sih
ucul,lucu
astagfirrullah,astagfirullah
suerrr,sumpah
ntik,cantik
lucuuuu,lucu
ketawakkkk,ketawa
nakutin,menakutkan
malingg,maling
cocokk,cocok
niihh,nih
imutttttt,imut
satuuuuu,satu
sesekk,sesak
nafass,napas
bgtt,banget
cintaaaaaaa,cinta
lucuk,lucu
duluu,dulu
megang,memegang
kawinin,mengawini
nyaaa,nya
gemesin,menggemaskan
fotoin,foto
kaaa,kakak
ganteng2,ganteng ganteng
pcarny,pacarnya
kri,kiri
garuk2,garuk garuk
tembokk,tembok
kiriii,kiri
bungkusin,bungkuskan
dehhhh,deh
kakk,kakak
ngegantiin,menggantikan
trsa,terasa
khadirannya,kehadirannya
hayalanku,khayalanku
surgaa,surga
kangenn,kangen
kgn,kangen
kakkkkk,kakak
rinduuuuuuuuu,rindu
terangkhn,terangkan
bgtttt,banget
bngunlah,bangunlah
qu,ku
hiri,hari
alm,almarhum
sie,sih
benet,benar
bangetttt,banget
gda,enggak ada
gantiin,gantikan
kklau,kalau
acra,acara
bnerr,benar
emk,emak
temenn,teman
pngenn,ingin
terkenall,terkenal
ajhh,saja
sungguh2,sungguh sungguh
dimusiumin,dimuseumkan
bntu,bantu
kangem,kangen
amiiin,amin
lahhh,lah
lht,lihat
biasa2,biasa biasa
mnrtkuu,menurutku
wajiiib,wajib
aaaammmiiiinnnn,amin
dtnggu,ditunggu
kunjungin,kunjungi
lagiiii,lagi
waktunyaaa,waktunya
diluangin,diluangkan
mimin,admin
istimewaaa,istimewa
donkk,dong
kejawab,terjawab
yaaaa,ya
seru2an,seru seruan
mohom,mohon
kebalas,terbalas
nyempetin,menyempatkan
wktunya,waktunya
kaaaa,kakak
namain,menamai
ijap,ijab
kobul,kabul
inggat,ingat
brdua,berdua
sanggat,sangat
siipp,sip
laa,lah
hdp,hidup
kedpan,ke depan
mndaptkan,mendapatkan
"nutup""in,menutup nutupi"
kakkk,kakak
za,saja
mulut2,mulut mulut
peengn,ingin
muantteepp,mantap
mrit,menikah
ngapasih,kenapa sih
segitunya,sebegitunya
fto,foto
sisain,sisakan
slamt,selamat
nantiii,nanti
edaaan,edan
tunggu2,tunggu tunggu
ciyeeeeeee,cie
lairannya,kelahirannya
jmnya,jamnya
ajha,saja
nyaaaa,nya
amiien,amin
terbaikkk,terbaik
ayahh,ayah
ae,saja
mrekaaaa,mereka
yaampuuuunnnn,ya ampun
nyanyiin,menyanyikan
ahhh,ah
tempt,tempat
jalan2,jalan jalan
asyikkkkk,asyik
iriiiii,iri
naaaaahh,nah
kka,kakak
jrang,jarang
gossip2an,saling menggosip
makkk,emak
guee,gue
pengennn,ingin
gilzz,gila
nyaru,menyaru
gilaaa,gila
kebarat2an,kebarat baratan
mantabs,mantap
mlu,malu
payahh,payah
ntaf,mantap
milikin,memiliki
kamo,kamu
inih,ini
sukaaaa,suka
sukaaaaaa,suka
mehoonggggg,mahal
apikkkk,bagus
yach,ya
kereenn,keren
ginii,begini
ayoook,ayo
yoiii,iya
gituuu,begitu
iyaaa,iya
liptsk,lipstik
nyeplak,menjiplak
kmarin,kemarin
mengncang,mengencang
tauu,tau
skitar,sekitar
ats,atas
donk,dong
heii,hai
diputusin,diputus
pcrnya,pacarnya
mnjual,menjual
kkak,kakak
rekomendasiin,rekomendasikan
sihhh,sih
cooocok,cocok
mamanyy,mamanya
bosenin,membosankan
sey,sih
cantikkk,cantik
banger,banget
kaa,kakak
eakyu,waktu
cntik,cantik
kakanya,kakaknya
doeloe,dulu
cantikkkk,cantik
bngtt,banget
iyak,iya
malh,malah
gag,enggak
fhotonya,fotonya
bleh,boleh
tanteny,tantenya
sklinyaa,sekalinya
dramaa,drama
niiih,nih
bisaa,bisa
lihaat,lihat
yuwkkk,ayo
editannn,editan
mai,mau
kamuu,kamu
pastii,pasti
bisaaa,bisa
kejuu,keju
kereen,keren
kmauan,kemauan
ahhhh,ah
yuuuuk,ayo
disiniii,di sini
cobaa,coba
ajaaa,saja
tuhhh,itu
amploppp,amplop
sayangg',sayang
nantii,nanti
aminnnnn,amin
yukkkk,ayo
nged,banget
nantik,nanti
ksitu,ke situ
bangeett,banget
liad,lihat
biasahhh,biasa
tutorialx,tutorialnya
dpke,dipakai
fhoto,foto
kerenn,keren
binggo,banget
rekomndd,rekomended
wado,waduh
guaa,gue
yaakkk,ya
bangetttttyt,banget
bangettttt,banget
bangg,abang
kangeeeeeeeeennnnnnnn,kangen
kaliannnnnn,kalian
rinduuuuuuuuuu,rindu
kangennnnnmnnnnnnnnnnnnnnnnn,kangen
kaliannnnnm,kalian
kangeeeeeeeeeeennnnn,kangen
kangennnnnnnnnnnnnnnn,kangen
kangennn,kangen
kaliannnnnnn,kalian
th2,tahun tahun
trserah,terserah
wlwpun,walaupun
trpsah,terpisah
prsatukn,persatukan
ngomng,ngomong
mdh2an,mudah mudahan
skedar,sekadar
kangeeerrn,kangen
pulak,pula
terrrrbaik,terbaik
jorookknya,joroknya
ihhhhh,ih
padahall,padahal
jorokkkk,jorok
mualll,mual
klow,kalau
taiiii,tai
seneeeeeng,senang
besarin,besarkan
tanyang,tayang
ber2,berdua
kerreeen,keren
pantess,pantas
bngettt,banget
baperr,bawa perasaan
ht,hati
pemainy,pemainnya
aqu,aku
kbawa,terbawa
bradegan,beradegan
amiiinnnn,amin
nikahin,nikahi
nyambung,menyambung
liyat,lihat
adengan,adegan
bingit,banget
model2,model model
sitayngin,ditayangkan
cocokkk,cocok
mahhhh,mah
cocokny,cocoknya
iniw,ini
setju,setuju
bnern,benaran
klian,kalian
cocokkkk,cocok
bngett,banget
abes,habis
ihh,ih
beginiiii,begini
keq,kayak
sygkuu,sayangku
ngeselin,mengesalkan
bajua,bajunya
pokokya,pokoknya
ubur2,ubur ubur
kuyy,ayo
bentarr,bentar
dureen,durian
ajibb,keren
mahall,mahal
niiihh,nih
imuuttt,imut
imuttzz,imut
nha,nya
konten2,konten konten
rasain,rasakan
daaaah,deh
asliiii,asli
cantiknnnnyaaaaaaa,cantiknya
ngelihatnya,melihatnya
ibu2,ibu ibu
lau,kau
cantikk,cantik
sexxi,sexy
bulet,bulat
ituu,itu
ngocok,mengocok
gn,begini
yaahhh,ya
kencqng,kencang
kra,kira
diginikan,dibeginikan
lahh,lah
gambarin,gambarkan
ngerii,mengerikan
digambarin,digambarkan
klen,kalian
kog,kok
liatnya,lihatnya
bedanyaaa,bedanya
mbk,mbak
pgin,ingin
krudungan,kerudungan
maksutku,maksudku
kerennnnn,keren
njirr,anjir
manisnyaaaa,manisnya
thun,tahun
bangeet,banget
ngomen,mengomentari
kaaakk,kakak
tenggah,tengah
uuuuuaaaaaaaaaappppppppppiiiiiiiiiiiiiiiiiikkkkkkkkkkkkkkkk,apik
kocakkkkkkkkkkkkkk,kocak
ksukaanmuuu,kesukaanmu
bagiii,bagi
ayooo,ayo
nontonx,menontonnya
penasarannnn,penasaran
gilakkkkkk,gila
mauuu,mau
nontoonnn,menonton
cepet2,cepat cepat
kepingin,ingin
nontonnnn,menonton
deeek,adik
ntappp,mantap
deg2an,deg degan
cyiiin,cinta
iyha,iya
kureeeen,keren
muantaap,mantap
sbnyak,sebanyak
penasaraaann,penasaran
ayoooo,ayo
nii,ini
nontonya,menontonnya
peen,pengin
gga,enggak
asikkk,asyik
ceritax,ceritanya
yoooiii,iya
udahh,sudah
tauuuuu,tau
sabarrrrr,sabar
kqmu,kamu
banggain,banggakan
pengan,ingin
simpen,simpan
gakk,enggak
bagiin,bagikan
kapn,kapan
barang2,barang barang
senengin,senangi
ampunnnn,ampun
senengg,senang
teruzzz,terus
mantabb,mantap
sumpahh,sumpah
diluarann,di luaran
dlam,dalam
anjirrrr,anjir
jendess,janda
sichh,sih
geh,sana
nggak,enggak
22nya,dua duanya
aduuhhh,aduh
miripp,mirip
silauuu,silau
waww,wow
njiirr,anjir
kesinii,ke sini
gemay,gemas
dstu,di situ
wiiiihhhh,weh
samoga,semoga
kereennn,keren
nyangkaa,menyangka
hasilnyaaa,hasilnya
dahhhh,dah
mudah2,mudah mudah
jugaakk,juga
diapa2in,diapa apai
yaak,ya
lhoo,lo
donx,dong
gthu,begitu
maauuu,mau
pacarrr,pacar
idamann,idaman
naturalllll,natural
berntung,beruntung
merka,mereka
jln2,jalan jalan
romntis,romantis
ulan,ulang
sipp,sip
jugak,juga
ngeluarin,mengeluarkan
keciill,kecil
ughaa,juga
abeees,habis
kapan2,kapan kapan
adain,adakan
bosen2,bosan bosan
sempurnaaaaa,sempurna
kaan,kan
kece2,kece kece
badaaiii,badai
beneraan,benaran
cantiiik,cantik
kuatttt,kuat
cantiiiiiiik,cantik
cantiknyaaa,cantiknya
bae2,baik baik
catiiiiik,cantik
subahanallah,subhanallah
jaman2nya,zaman zamannya
padet,padat
cantiq,cantik
lohh,lo
keeeerrrreeeennnnnnnnn,keren
choker2,choker choker
hadirrr,hadir
hadirr,hadir
jelashh,jelas
mbaaa,mbak
hidupppp,hidup
diliatnya,dilihatnya
abis2,habis habis
para2,parah parah
bangeeet,banget
allahhhhhhh,allah
gemesnya,gemasnya
ilang2,hilang hilang
tbuh,tubuh
itungan,hitungan
ledekin,meledeki
repot2,repot repot
oles2,oles oles
dptkan,dapatkan
artis2,artis artis
kalii,kali
ninggiin,meninggikan
baget,banget
kira2,kira kira
ahh,ah
pas2an,pas pasan
balesin,balaskan
sukaaa,suka
lutuna,lucunya
ciapa,siapa
gemesss,gemas
duhh,duh
terharuuu,terharu
alamii,alami
sampek,sampai
ckrng,sekarang
ngegemesin,menggemaskan
imoet,imut
imut2,imut imut
jagain,jagakan
yahbh,ya
macem2,macam macam
sktika,seketika
lutu,lucu
wowwww,wow
massss,mas
kesiniii,kesini
masyaallahhh,masyaallah
kerennn,keren
ksni,ke sini
begok,bego
jgk,juga
pgi,pagi
keeeeeren,keren
baguusss,bagus
nahannnn,tahan
bagaatt,banget
gayannxa,gayanya
kereeeen,keren
uda,sudah
ngekeh,kekeh
xlian,kalian
b3,bertiga
ihhh,ih
lcu,lucu
koplakkk,kocak
kerass,keras
yachhh,ya
gokil,gila
ngelihat,melihat
ngelawak,melawak
iiihhhhh,ih
nyolotinnnn,melototi
beratttttttt,berat
cantiikkkk,cantik
hijaabbb,hijab
sekalii,sekali
smnagatin,menyemangati
cans,cantik
banhet,banget
bgttttttt,banget
mngasi,mengasih
kmbang,kembang
pla,pula
bngtzt,banget
lucukkkkk,lucu
sbelah,sebelah
baek,baik
ciusss,serius
palinf,paling
fav,favorit
maak,emak
ngakaaaakkk,mengakak
gokill,gila
kocakkkkkk,kocak
ngekek,mengekek
capee,cape
pegangin,pegangi
nyender,menyandar
manjain,manjakan
peleotin,meleotkan
bng,bang
termurahhhh,termurah
nyatakan,menyatakan
graaatiiiis,gratis
meriahh,meriah
cantikkkm,cantik
parahh,parah
bingits,banget
yuppss,ya
nyindir,menyindir
onoh,sana
anakny,anaknya
staf2nya,staf stafnya
begete,banget
manteppp,mantap
hati2,hati hati
jangan2,jangan jangan
kata2nya,kata katanya
ynk,sayang
diemin,diamkan
hancurin,hancurkan
haragain,menghargai
jgn2,jangan jangan
sbaiknya,sebaiknya
mngerti,mengerti
fakta2,fakta fakta
nilai2,nilai nilai
buka2,buka buka
nyinyirin,nyinyir
pd,pada
ngomomg,mengomong
kbetulan,kebetulan
orgtuanya,orang tuanya
ngamatin,mengamati
ngintip,mengintip
ngintilin,mengintil
smnjak,semenjak
trbukti,terbukti
nyambet,menyambat
eloo,lu
apa2nya,apa apanya
goblokkk,goblok
sesatt,sesat
ibliss,iblis
kbiasaan,kebiasaan
hdpnya,hidupnya
anknya,anaknya
anak2nya,anak anaknya
tdnya,tadinya
ank2nya,anak anaknya
branjak,beranjak
ank2,anak anak
masyarakay,masyarakat
menegerti,mengerti
nasehatin,menasihati
ngaca,mengaca
kakkkk,kakak
slamet,selamat
nari,menari
mf,maaf
ngcpin,mengucapkan
woowwww,wow
iaa,iya
kebagi,terbagi
nerusin,meneruskan
wihh,weh
tetapppp,tetap
gantenggg,ganteng
jakety,jaketnya
pusingggg,pusing
pucing,pusing
ihhhh,ih
maho,manusia homo
gantng,ganteng
hilangv,hilang
bungggg,bung
gapap,enggak apa apa
pling,paling
gokiiill,gila
busedh,buset
gokilnya,gilanya
duluuu,dulu
keceee,kece
nyaa,nya
gilaa,gila
duuhhh,duh
amiiiiinnnnn,amin
tullus,tulus
pluk,peluk
durhaka2,durhaka durhaka
kpada,kepada
ktaa,kita
tetaplaah,tetaplah
ajja,saja
dech,deh
oprasi,operasi
gya,gaya
kndung,kandung
ksenangan,kesenangan
ddpt,didapat
jwab,jawab
mmbodohkan,membodohkan
orlaen,orang lain
aplikasiin,mengaplikasikan
berangat,berangkat
praktekin,mempraktikkan
dahh,dah
omdo,omong doang
cabe2,cabe cabe
prjuangan,perjuangan
kmewahan,kemewahan
ddpat,didapat
mnilai,menilai
kata2,kata kata
usahh,usah
segala2nya,segala galanya
sekarng,sekarang
hay,hai
bhagia,bahagia
korek2,korek korek
sasama,sesama
dehh,deh
cabe2an,cabe cabean
terong2an,terong terongan
seklian,sekalian
tuuu,itu
ngurusan,mengurusi
campurin,mencampuri
emnknya,memangnya
unyuu,unyu
mrangkul,merangkul
lh,lah
manusiy,manusia
teringt,teringat
pilihnmu,pilihanmu
swmntara,sementara
orang2,orang orang
liht,lihat
suaminy,suaminya
jadulnya,zaman dulunya
mantaff,mantap
bagaimna,bagaimana
mulusssss,mulus
kpleset,kepleset
kepeleset,kepleset
kayanye,kayaknya
amiinnnn,amin
komen2an,berbalas komen
wewww,wow
dumsss,dong
perbaikin,perbaiki
permasalhkan,mempermasalahkan
betul2,betul betul
jauhin,jauhi
adiik,adik
manisss,manis
ddlm,di dalam
dkuburnya,dikuburnya
rata2,rata rata
critamu,ceritamu
bres,beres
cmkn,camkan
diurusin,diurus
donks,dong
mengperbolehkan,memperbolehkan
ngri,negeri
lma,lama
ngebolehin,memperbolehkan
gausa,enggak usah
maksain,memaksakan
smog,semoga
mnerima,menerima
baikxa,baiknya
aaamin,amin
amienn,amin
sekangen2,sekangen kangen
amiiiiiiiiiinnnnnnn,amin
nolongin,menolong
amiiiiiiiiiiin,amin
seluru,seluruh
amiennn,amin
tebir,ribet
doangam,doang
amad,amat
mkst,maksud
wong2,orang orang
rempong,ribet
kerjaan,pekerjaan
bingittzz,banget
bangets,banget
dwh,deh
bante,bantai
la,lah
komenannya,komentarnya
hadapin,hadapi
dengarin,dengarkan
widihh,weh
mantepp,mantap
cita2,cita cita
syratnya,syaratnya
pnjang,panjang
shat,sehat
inginkn,inginkan
belanjaa,belanja
burem,buram
kancang,kencang
mansyoallah,masyaallah
canttttikkk,cantik
subhanalloh,subhanallah
lkuin,lakukan
langgenh,langgeng
foto2nya,foto fotonya
salluutt,salut
warbiyasah,luar biasa
keedaannya,keadaannya
lagu2,lagu lagu
saya2,saya saya
lagu2nya,lagu lagunya
gra2,gara gara
jlek,jelek
udah2,sudah sudah
curhat2,curhat curhat
matany,matanya
dteng,datang
baju2,baju baju
buruannn,buruan
perubut,perunut
bagus2,bagus bagus
say,sayang
mmbela,membela
mslhnya,masalahnya
llki,lelaki
dluar,di luar
sna,sana
boleh2,boleh boleh
maluuuu,malu
beda2,beda beda
nyaranin,menyarankan
tongolin,menongol
cabol,cabul
nyet,monyet
muna,munafik
jing,anjing
nihh,nih
hidiyah,hidayah
percya,percaya
cek2,cek cek
mgk,mungkin
sapa2,siapa siapa
termurahhh,termurah
banyaaaaaak,banyak
baik2nya,baik baiknya
tunjukan,tunjukkan
anak2mu,anak anakmu
anak2,anak anak
ngasih2,mengasih ngasih
amit2,amit amit
mba,mbak
terbaeq,terbaik
jels,jelas
diakibtkn,diakibatkan
suk,suka
jelek2,jelek jelek
dsrny,dasarnya
jkrta,jakarta
mantaap,mantap
main2,main main
lanjutkaaaaan,lanjutkan
hiduppp,hidup
ncek,encek
majuuu,maju
teruuss,terus
kdg2,kadang kadang
looohh,lo
sebelumbya,sebelumnya
nyampein,menyampaikan
hokiii,hoki
naksir,menaksir
nafkahin,nafkahi
ngitem,menghitam
banyaaaak,banyak
lhat,lihat
cwek,cewek
kngen,kangen
fillm,film
sinet,sinetron
jendral,jenderal
maenya,mainnya
cantiks,cantik
jaaangan,jangan
terimaksih,terima kasih
inii,ini
kaannnn,kan
tidakkkk,tidak
kemuh,kamu
keren2,keren keren
pinginnn,ingin
buanget,banget
ketemuuu,ketemu
mimpiii,mimpi
wanjerrr,anjir
satupunn,satupun
motret,memotret
lapakk,lapak
nyeniii,menyeni
seeh,sih
deuhh,duh
b2an,berduaan
dihargain,dihargai
tahun2,tahun tahun
lebayy,lebay
gilsss,gila
nganbek,mengambek
sukaa,suka
mendam,memendam
manta,mantan
relaaaa,rela
bgun,bangun
cntk,cantik
kliatan,kelihatan
awoohhh,allah
cantiikk,cantik
sbbyak,sebanyak
apun,apapun
nyangkutnya,menyangkutnya
ampunnnnn,ampun
wadaaw,waduh
paraah,parah
sampw,sampai
dijelekin,dijelekkan
azeeeek,asyik
ntikk,cantik
uhh,uh
mnisss,manis
tambahim,tambahkan
canttikkk,cantik
baanggeettt,banget
siiihh,sih
krpoooo,kepo
pengn,ingin
nyok,ayo
dekkk,adik
ngiri,mengiri
mmang,memang
mnjmput,menjemput
mblooo,jomblo
ber'expresi,berekspresi
jdulnya,judulnya
ciumman,ciuman
aurot,aurat
laginy,laginya
nyaaaaaaaaaaaaa,nya
alkhamdulilah,alhamdulillah
selaluu,selalu
anjirrr,anjir
amen,amin
qm,kamu
nahhh,nah
ngmngnya,mengomongnya
hal2,hal hal
komunitas2,komunitas komunitas
fotony,fotonya
halllo,halo
ngiritya,mengiritnya
hematt,hemat
ciyeeee,cie
yeeee,iya
nget,banget
kususnya,khususnya
krm,kirim
sam,sama
ajaaahhhhh,saja
syediiihhh,sedih
malangg,malang
belooomm,belum
kebukti,terbukti
anak2e,anak anaknya
tuwanya,tuanya
comen2nya,komen komennya
pedesssss,pedas
jelas2,jelas jelas
nyebut2,menyebut nyebut
hellooooooo,halo
ngrebut,merebut
lupain,melupakan
bangkret,bangkrut
lahhhhhh,lah
kedokk,kedok
nyimak,menyimak
komenx,komennya
serem2,seram seram
blim,belum
ngerebut,merebut
mnjijikaaaaaan,menjijikkan
astgfrlh,astagfirullah
sahabatt,sahabat
gnyngka,enggak menyangka
sendirir,sendiri
brengsekk,berengsek
ngomentnya,mengomentarinya
